id,name,parent,size
494,Blockchain & Cryptocurrency Services Zug,3,100
495,Blockchain Buero,3,100
496,Blockchain Exploration,3,100
497,Blockchain Initiatives,3,100
498,Blockchain Revolution,3,100
499,Blockchain Solutions,3,100
500,Blockchain Source,3,100
501,Blockfactory,3,100
502,BlockFactory,3,100
503,BlockLogiX,3,100
504,Blue Tree Advisors,3,100
505,BrightNode.io,3,100
506,Bussmann Advisory,3,100
507,Capgemini,3,100
508,Cappiello Group,3,100
509,Codex Execution,3,100
510,Cognizant,3,100
511,CoinTec,3,100
512,Compliance Group,3,100
513,ConsensusLab,3,100
514,Consulcesi,3,100
515,Crypto Advisory Group,3,100
516,Crypto Consulting,3,100
517,Crypto Council Suisse,3,100
518,Crypto Currency Consulting,3,100
519,Crypto Nike,3,100
520,Cryptolex,3,100
521,Cryptoprofiler,3,100
522,DactaTrace.swiss,3,100
523,Das Netz,3,100
524,DecentAge,3,100
525,Deepit,3,100
526,Dialethoo,3,100
527,Digital Assets Legal Advisors,3,100
528,Digital identity,3,100
529,Digital Ledger Systems,3,100
530,digitaliKa,3,100
531,DLT Invest,3,100
532,E-metis,3,100
533,ELCA,3,100
534,Eleva Partners,3,100
535,Emotiq,3,100
536,Epiphany,3,100
537,Espeo Software,3,100
538,Finka,3,100
539,First Advisory Group,3,100
540,FORFA Consulting,3,100
541,Frehel,3,100
542,Globex,3,100
543,Goodx Finance Network,3,100
544,Helvetia Fintech,3,100
545,Hubchain,3,100
546,IBEX,3,100
547,IBM,3,100
548,icde.team,3,100
549,Inacta,3,100
550,inqube,3,100
551,Inqube,3,100
552,Integration alpha,3,100
553,Iprotus,3,100
554,Japan Communicate,3,100
555,Jud Schöni and Partner,3,100
556,KACO,3,100
557,Kopanyo,3,100
558,Kore Technologies,3,100
559,Kraft Bio,3,100
560,Lakeside Business Center,3,100
561,Lüscher Blockchain Revolution,3,100
562,Luxoft,3,100
563,Menova,3,100
564,Nexussquared,3,100
565,NOUMENA Digital,3,100
566,Noviant,3,100
567,Oakura Ventures,3,100
568,Old School,3,100
569,Papers,3,100
570,Pom+ Consulting,3,100
571,Proof of Work,3,100
572,Q innovations,3,100
573,Ruppli Digital Real Estate Advisory,3,100
574,Scenic Swisscoast,3,100
575,Silkchain,3,100
576,SKB Advisors,3,100
577,Smart Finance,3,100
578,STOBox Platform,3,100
579,Swiss Blockchain Solutions,3,100
580,Swiss Blockchain Technologies,3,100
581,Swiss Crypto Advisors,3,100
582,Swiss Cryptotech,3,100
583,Swissblock Technologies,3,100
584,Swisscom Blockchain,3,100
585,TARCO,3,100
586,Temenos,3,100
587,The Singularity Group,3,100
588,Trinkler Software,3,100
589,Validity Labs,3,100
590,Valinor,3,100
591,Verticom,3,100
592,Visceral,3,100
593,VYOMA Partner,3,100
594,WeCan.Fund,3,100
595,Whitelabel-Coins,3,100
596,Wisekey,3,100
597,Xupery,3,100
598,Zero Knowledge Labs,3,100
599,Zillion Bits,3,100
600,Zühlke,3,100
601,HR Services & Recruiting,2,
602,Alpere,3,100
603,Rockstar Recruiting,3,100
604,Talent4Gig,3,100
605,ICO/STO Services,2,
606,Alethena (Equility),3,100
607,Atlantic Neotechnologies,3,100
608,Blockhaus,3,100
609,Brainbot Labs,3,100
610,Cryptadvise,3,100
611,EST Capital,3,100
612,Forkwealth,3,100
